"","Year","Month","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"1",1985,5,71.06,71.06,68,68,64.94,64.04,64.04,64.94,69.08,66.02,51.08,55.94,59,57.92,66.02,66.92,66.02,66.02,68,66.92,66.92,62.96,NA,69.98,73.94,71.06,71.06,69.08,73.04,69.08,62.06
"2",1985,6,62.96,62.96,64.94,60.08,69.08,75.92,82.04,86,84.92,84.02,82.04,82.94,84.92,82.94,82.94,86,84.92,87.08,87.08,84.02,80.96,82.04,84.92,80.96,73.94,71.96,73.04,80.96,84.02,82.04,NA
"3",1985,7,80.96,86,89.96,87.98,91.94,91.94,89.06,87.98,89.96,87.08,84.02,84.02,84.92,87.08,84.02,84.92,78.98,80.96,75.92,73.94,64.94,71.96,73.04,80.06,80.06,77,80.06,82.04,77,73.94,73.04
"4",1985,8,77,68,78.08,80.06,82.04,80.96,82.94,82.94,80.06,80.06,80.06,75.92,78.98,78.98,80.96,80.96,78.98,75.02,82.04,82.04,69.98,80.06,84.02,87.98,91.04,84.92,84.02,80.96,78.98,82.04,82.94
"5",1985,9,82.94,75.02,73.94,71.96,66.92,62.96,62.96,64.04,68,64.94,68,66.02,66.92,75.02,73.94,73.04,73.04,69.98,51.98,59,55.04,68,68,71.06,71.96,73.04,71.96,64.94,60.98,64.04,NA
"6",1985,10,64.04,60.08,64.04,71.06,71.06,75.02,69.08,53.96,51.08,55.04,50,55.04,57.02,53.96,51.08,55.94,57.02,60.08,62.96,62.96,62.06,55.04,53.96,68,66.92,64.94,66.92,68,64.04,64.94,62.06
"7",1985,11,50,53.96,64.94,62.96,64.94,57.92,60.08,62.96,53.06,48.02,46.94,41,26.06,26.96,26.96,39.92,51.08,37.04,37.04,26.96,48.02,46.04,46.04,48.92,50,39.92,46.04,41,42.98,35.96,NA
"8",1985,12,33.08,42.98,44.06,46.04,50,51.08,46.94,51.08,39.92,35.96,30.02,21.92,32,35.96,39.92,44.06,42.08,46.94,46.94,48.92,51.98,60.08,57.02,55.04,51.98,46.94,55.94,51.98,53.96,53.06,44.96
"9",1986,1,42.98,46.94,46.94,48.02,42.08,44.06,44.06,37.04,46.04,51.98,50,51.08,50,51.08,46.94,42.08,50,53.96,51.08,60.08,53.06,53.06,53.06,53.06,50,48.92,51.08,57.02,60.98,59,46.94
"10",1986,2,48.02,44.96,46.04,44.96,39.92,39.92,26.06,35.06,26.06,28.04,30.92,37.94,44.06,42.98,44.96,39.02,41,46.04,53.06,46.94,46.04,44.96,55.04,60.08,62.96,69.08,69.98,60.98,NA,NA,NA
"11",1986,3,62.06,64.04,59,59,59,64.04,62.06,57.92,55.94,44.96,33.08,39.92,39.02,42.98,39.02,41,35.06,33.08,42.08,44.96,51.98,57.92,59,60.98,57.92,60.98,64.94,69.08,64.94,53.96,64.94
"12",1986,4,62.06,46.04,35.96,44.96,53.06,57.02,55.04,57.02,55.04,60.08,57.92,60.08,55.04,51.98,59,60.08,55.94,46.04,46.94,59,69.08,73.04,66.92,59,59,59,55.94,62.96,66.92,68,NA
"13",1986,5,66.02,69.98,73.04,71.06,60.98,60.98,53.06,42.98,51.08,57.02,62.96,64.94,66.02,68,68,64.04,64.94,64.04,71.06,75.02,75.02,68,71.06,69.98,75.02,80.06,80.96,78.98,73.04,73.94,64.94
"14",1986,6,75.02,78.98,71.06,73.94,75.02,73.94,73.04,73.04,68,69.08,73.04,78.98,80.06,78.98,80.96,82.04,82.04,78.08,78.98,78.08,78.98,78.98,82.04,84.92,71.06,78.08,84.92,86,82.94,71.06,NA
"15",1986,7,75.92,82.04,84.92,73.04,66.92,71.96,75.02,71.06,78.08,78.08,78.98,80.96,82.04,84.02,84.02,69.98,69.08,75.92,75.92,82.04,75.02,60.08,66.92,71.06,73.94,75.92,75.92,77,80.96,82.94,84.02
"16",1986,8,87.08,86,86,84.02,82.94,82.04,80.06,82.04,78.98,80.06,77,80.06,73.94,75.02,77,78.98,82.04,84.02,77,89.96,84.02,84.02,78.98,77,64.94,71.96,73.04,73.94,69.08,71.96,73.94
"17",1986,9,71.96,69.98,73.94,73.04,77,78.98,80.06,71.96,69.08,80.06,64.04,66.02,66.92,66.92,66.92,66.92,68,68,68,66.92,64.94,66.92,57.92,51.08,39.02,44.96,55.04,57.02,57.02,57.92,NA
"18",1986,10,60.08,60.08,53.06,50,57.02,51.98,57.92,64.94,62.96,62.96,55.04,48.02,39.02,51.08,57.02,57.02,62.96,60.98,55.04,51.08,48.92,55.94,55.94,59,60.08,60.98,60.08,60.08,64.94,64.94,62.06
"19",1986,11,55.04,48.02,39.92,59,51.08,55.04,48.02,35.06,44.96,53.06,46.94,57.92,53.96,57.02,55.94,55.94,55.04,55.04,48.92,51.98,53.06,53.96,44.06,39.92,48.92,48.02,42.98,50,59,50,NA
"20",1986,12,48.02,50,57.02,59,53.96,50,35.06,39.92,41,35.96,24.98,39.92,44.96,48.92,44.06,44.96,42.98,41,41,44.06,33.08,37.94,39.02,35.06,41,37.04,39.02,42.08,37.04,41,51.98
"21",1987,1,48.92,48.92,42.98,51.98,46.04,33.08,33.08,33.08,37.04,32,42.08,41,53.06,53.96,42.98,28.94,15.98,21.92,37.04,33.98,21.92,44.96,46.94,46.94,48.02,53.96,57.92,55.04,48.02,48.92,46.94
"22",1987,2,39.02,55.94,55.94,46.94,39.92,42.08,42.98,46.94,51.98,51.08,50,51.08,50,48.92,37.94,44.06,39.02,37.94,35.06,33.08,28.04,35.96,42.08,33.08,24.98,24.98,28.04,33.08,NA,NA,NA
"23",1987,3,37.04,39.92,48.02,44.96,51.98,55.94,53.96,46.04,46.04,50,50,51.98,55.94,53.06,50,30.92,33.08,44.06,48.92,41,41,39.92,28.04,39.02,35.06,39.02,46.94,37.04,35.06,37.04,48.02
"24",1987,4,55.94,60.08,59,53.06,42.08,50,53.06,50,53.96,60.98,64.04,60.08,50,57.02,68,71.96,73.94,71.06,62.06,55.94,NA,60.08,64.04,69.08,69.08,69.08,68,68,68,66.02,NA
"25",1987,5,64.04,64.94,64.04,62.06,66.02,69.08,69.08,66.02,69.08,69.08,66.92,69.98,64.04,69.08,69.98,64.94,59,66.92,66.92,62.06,57.92,57.92,64.04,64.04,62.96,53.06,57.92,60.08,64.04,71.06,68
"26",1987,6,73.04,78.08,78.08,78.08,73.94,73.04,68,75.02,75.92,73.94,77,80.06,82.94,84.92,84.92,78.98,75.92,78.08,75.92,78.08,75.92,77,78.98,80.96,84.02,78.98,75.02,78.98,84.02,80.06,NA
"27",1987,7,80.06,78.08,82.04,82.04,80.06,80.06,80.96,84.02,80.96,78.08,77,78.98,82.04,86,86,82.94,69.08,71.06,66.92,73.94,75.02,77,78.98,82.94,87.08,77,73.94,73.94,62.06,78.08,71.06
