STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT05,WT04,WT03
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850501,-9999,-9999,-9999,-9999,0,0,0,217,-6,89,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850502,-9999,-9999,-9999,-9999,8,0,0,217,11,61,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850503,-9999,-9999,-9999,-9999,0,0,0,200,0,83,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850504,-9999,-9999,-9999,-9999,0,0,0,200,0,50,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850505,-9999,-9999,-9999,-9999,0,0,0,183,-28,50,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850506,-9999,-9999,-9999,-9999,0,0,0,178,-39,44,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850507,-9999,-9999,-9999,-9999,0,0,0,178,-44,50,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850508,-9999,-9999,-9999,-9999,0,0,0,183,-39,-6,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850509,-9999,-9999,-9999,-9999,0,0,0,206,-11,56,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850510,-9999,-9999,-9999,-9999,3,0,0,189,56,56,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850511,-9999,-9999,-9999,-9999,0,0,0,106,-67,0,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850512,-9999,-9999,-9999,-9999,0,0,0,133,-33,56,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850513,-9999,-9999,-9999,-9999,18,0,0,150,-61,33,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850514,-9999,-9999,-9999,-9999,0,0,0,144,-89,33,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850515,-9999,-9999,-9999,-9999,0,0,0,189,-61,67,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850516,-9999,-9999,-9999,-9999,0,0,0,194,22,117,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850517,-9999,-9999,-9999,-9999,0,0,0,189,-11,111,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850518,-9999,-9999,-9999,-9999,58,0,0,189,-22,122,-9999,-9999,-9999,-9999
GHCND:USC00023009,FLAGSTAFF 4 SW AZ US,19850519,-9999,-9999,-9999,-9999,3,0,0,200,-17,133,-9999,-9999,-9999,-9999
