DATE,TMAX,TMIN
19850501,217,-6
19850502,217,11
19850503,200,0
19850504,200,0
19850505,183,-28
19850506,178,-39
19850507,178,-44
19850508,183,-39
19850509,206,-11
19850510,189,56
19850511,106,-67
19850512,133,-33
19850513,150,-61
19850514,144,-89
19850515,189,-61
19850516,194,22
19850517,189,-11
19850518,189,-22
19850519,200,-17
19850520,194,-39
19850521,194,-28
19850522,172,-33
19850523,-9999,-11
19850524,211,50
19850525,233,0
19850526,217,-22
19850527,217,-33
19850528,206,-11
19850529,228,0
19850530,206,11
19850531,167,44
19850601,172,-28
19850602,172,-39
19850603,183,-28
19850604,156,-39
19850605,206,-28
19850606,244,17
19850607,278,28
19850608,300,44
19850609,294,11
19850610,289,0
19850611,278,22
19850612,283,17
19850613,294,17
19850614,283,17
19850615,283,28
19850616,300,22
19850617,294,0
19850618,306,33
19850619,306,44
19850620,289,39
19850621,272,22
19850622,278,11
19850623,294,100
19850624,272,56
19850625,233,11
19850626,222,-56
19850627,228,-22
19850628,272,-28
19850629,289,6
19850630,278,17
19850701,272,6
19850702,300,44
19850703,322,33
19850704,311,39
19850705,333,56
19850706,333,78
19850707,317,100
19850708,311,106
19850709,322,133
19850710,306,94
19850711,289,133
19850712,289,61
19850713,294,78
19850714,306,89
19850715,289,111
19850716,294,122
19850717,261,78
19850718,272,61
19850719,244,72
19850720,233,33
19850721,183,44
19850722,222,67
19850723,228,67
19850724,267,72
19850725,267,33
19850726,250,33
19850727,267,44
19850728,278,100
19850729,250,78
19850730,233,83
19850731,228,50
19850801,250,56
19850802,200,50
19850803,256,78
19850804,267,67
19850805,278,33
19850806,272,22
19850807,283,56
19850808,283,78
19850809,267,56
19850810,267,61
19850811,267,78
19850812,244,22
19850813,261,22
19850814,261,17
19850815,272,-6
19850816,272,6
19850817,261,22
19850818,239,28
19850819,278,44
19850820,278,67
19850821,211,33
19850822,267,56
19850823,289,50
19850824,311,33
19850825,328,72
19850826,294,122
19850827,289,139
19850828,272,122
19850829,261,61
19850830,278,56
19850831,283,61
19850901,283,56
19850902,239,89
19850903,233,61
19850904,222,17
19850905,194,-6
19850906,172,-33
19850907,172,-33
19850908,178,-22
19850909,200,-11
19850910,183,6
19850911,200,33
19850912,189,-72
19850913,194,-44
19850914,239,0
19850915,233,44
19850916,228,22
19850917,228,11
19850918,211,56
19850919,111,-17
19850920,150,-17
19850921,128,-28
19850922,200,-6
19850923,200,-44
19850924,217,-28
19850925,222,-6
19850926,228,-22
19850927,222,6
19850928,183,11
19850929,161,-22
19850930,178,-6
19851001,178,11
19851002,156,-33
19851003,178,-28
19851004,217,-28
19851005,217,-28
19851006,239,17
19851007,206,28
19851008,122,11
19851009,106,44
19851010,128,-6
19851011,100,28
19851012,128,-39
19851013,139,-39
19851014,122,-44
19851015,106,-33
19851016,133,-17
19851017,139,-11
19851018,156,11
19851019,172,-44
19851020,172,-44
19851021,167,-11
19851022,128,28
19851023,122,-50
19851024,200,-50
19851025,194,-33
19851026,183,-39
19851027,194,-28
19851028,200,-17
19851029,178,-44
19851030,183,-44
19851031,167,-39
19851101,100,-83
19851102,122,-100
19851103,183,-100
19851104,172,-72
19851105,183,-44
19851106,144,-72
19851107,156,-94
19851108,172,-89
19851109,117,28
19851110,89,17
19851111,83,28
19851112,50,-44
19851113,-33,-150
19851114,-28,-283
19851115,-28,-267
19851116,44,-233
19851117,106,-178
19851118,28,-50
19851119,28,-278
19851120,-28,-267
19851121,89,-217
19851122,78,-156
19851123,78,-94
19851124,94,-100
19851125,100,0
19851126,44,0
19851127,78,-67
19851128,50,-50
19851129,61,-50
19851130,22,-39
19851201,6,-67
19851202,61,-67
19851203,67,-50
19851204,78,-111
19851205,100,-117
19851206,106,-111
19851207,83,-122
19851208,106,-111
19851209,44,-117
19851210,22,-167
19851211,-11,-206
19851212,-56,-150
19851213,0,-144
19851214,22,-183
19851215,44,-183
19851216,67,-161
19851217,56,-150
19851218,83,-144
19851219,83,-150
19851220,94,-144
19851221,111,-128
19851222,156,-128
19851223,139,-133
19851224,128,-133
19851225,111,-117
19851226,83,-117
19851227,133,-117
19851228,111,-111
19851229,122,-100
19851230,117,-94
19851231,72,-22
19860101,61,-83
19860102,83,-94
19860103,83,-100
19860104,89,-83
19860105,56,-83
19860106,67,-72
19860107,67,-72
19860108,28,-100
19860109,78,-106
19860110,111,-111
19860111,100,-89
19860112,106,-100
19860113,100,-106
19860114,106,-117
19860115,83,-61
19860116,56,-39
19860117,100,-67
19860118,122,-72
19860119,106,-72
19860120,156,-72
19860121,117,-94
19860122,117,-89
19860123,117,-72
19860124,117,-117
19860125,100,-106
19860126,94,-106
19860127,106,-106
19860128,139,-106
19860129,161,-94
19860130,150,-78
19860131,83,-67
19860201,89,-33
19860202,72,-50
19860203,78,-78
19860204,72,-67
19860205,44,-144
19860206,44,-139
19860207,-33,-150
19860208,17,-156
19860209,-33,-78
19860210,-22,-294
19860211,-6,-283
19860212,33,-183
19860213,67,-106
19860214,61,-50
19860215,72,-50
19860216,39,-11
19860217,50,11
19860218,78,17
19860219,117,17
19860220,83,-11
19860221,78,-83
19860222,72,-100
19860223,128,-83
19860224,156,-72
19860225,172,-56
19860226,206,-56
19860227,211,-56
19860228,161,-56
19860301,167,-61
19860302,178,-61
19860303,150,-44
19860304,150,-61
19860305,150,-72
19860306,178,-72
19860307,167,-67
19860308,144,-44
19860309,133,-22
19860310,72,-33
19860311,6,-28
19860312,44,-111
19860313,39,-100
19860314,61,-39
19860315,39,-100
19860316,50,-117
19860317,17,-50
19860318,6,-128
19860319,56,-161
19860320,72,-161
19860321,111,-128
19860322,144,-94
19860323,150,-78
19860324,161,-44
19860325,144,-61
19860326,161,-50
19860327,183,-50
19860328,206,-28
19860329,183,0
19860330,122,-33
19860331,183,-61
19860401,167,-17
19860402,78,22
19860403,22,-39
19860404,72,-22
19860405,117,-67
19860406,139,-56
19860407,128,-11
19860408,139,-56
19860409,128,-89
19860410,156,-72
19860411,144,-50
19860412,156,-17
19860413,128,0
19860414,111,-100
19860415,150,-39
19860416,156,17
19860417,133,-61
19860418,78,-72
19860419,83,-78
19860420,150,-67
19860421,206,-67
19860422,228,-22
19860423,194,-11
19860424,150,11
19860425,150,44
19860426,150,39
19860427,133,-111
19860428,172,-44
19860429,194,-39
19860430,200,-39
19860501,189,-28
19860502,211,0
19860503,228,-33
19860504,217,-17
19860505,161,-89
19860506,161,33
19860507,117,-17
19860508,61,-83
19860509,106,-89
19860510,139,-94
19860511,172,-50
19860512,183,-56
19860513,189,-44
19860514,200,-50
19860515,200,6
19860516,178,-33
19860517,183,-72
19860518,178,-72
19860519,217,-33
19860520,239,-28
19860521,239,-17
19860522,200,-33
19860523,217,-28
19860524,211,-22
19860525,239,-22
19860526,267,0
19860527,272,11
19860528,261,28
19860529,228,33
19860530,233,44
19860531,183,11
19860601,239,39
19860602,261,17
19860603,217,44
19860604,233,44
19860605,239,28
19860606,233,0
19860607,228,-22
19860608,228,-6
19860609,200,-6
19860610,206,-28
19860611,228,11
19860612,261,6
19860613,267,17
19860614,261,-6
19860615,272,17
19860616,278,22
19860617,278,100
19860618,256,33
19860619,261,6
19860620,256,-22
19860621,261,-17
19860622,261,-17
19860623,278,72
19860624,294,106
19860625,217,117
19860626,256,33
19860627,294,39
19860628,300,78
19860629,283,122
19860630,217,106
19860701,244,89
19860702,278,72
19860703,294,117
19860704,228,128
19860705,194,133
19860706,222,28
19860707,239,78
19860708,217,56
19860709,256,61
19860710,256,39
19860711,261,33
19860712,272,56
19860713,278,50
19860714,289,144
19860715,289,117
19860716,211,128
19860717,206,89
19860718,244,78
19860719,244,89
19860720,278,67
19860721,239,100
19860722,156,106
19860723,194,72
19860724,217,44
19860725,233,44
19860726,244,28
19860727,244,-11
19860728,250,0
19860729,272,50
19860730,283,50
19860731,289,39
19860801,306,56
19860802,300,78
19860803,300,78
19860804,289,61
19860805,283,72
19860806,278,78
19860807,267,67
19860808,278,67
19860809,261,78
19860810,267,78
19860811,250,100
19860812,267,117
19860813,233,72
19860814,239,67
19860815,250,56
19860816,261,67
19860817,278,61
19860818,289,117
19860819,250,72
19860820,322,67
19860821,289,128
